"DISTRICT","SD","county_id","TOTHH","TOTPOP","TOTACRE","RESACRE","CIACRE","TOTEMP","AGE0519","RETEMPN","FPSEMPN","HEREMPN","OTHEMPN","AGREMPN","MWTEMPN","PRKCST","OPRKCST","area_type","HSENROLL","COLLFTE","COLLPTE","TOPOLOGY","TERMINAL","household_density","employment_density","density_index","is_cbd","zone_id"
3,1,10,2280,9022,7539.24,4523.544,301.57,684,1514,137,103,150,34,68,192,0,0,6,1066,34,15,1,1,0.47252769571869185,0.14175830871560757,0.066984726966365,false,101
18,2,10,14619,18752,421.47,63.22,189.662,36548,3147,6579,9137,8041,4385,1096,7310,30,20,2,2216,1847,792,1,5,57.80957126248606,144.5259053629756,41.29271230483203,false,102
4,1,10,12229,18231,375.8,56.37,169.11,30572,3059,5503,7643,6726,3669,917,6114,30,20,2,2155,1545,662,1,5,54.23540890544616,135.58630477204184,38.73939676776944,false,103
39,4,10,19920,22404,873.38,218.345,262.014,23904,3759,4781,3586,5259,1195,2390,6693,15,10,3,2648,1208,518,1,3,41.468984655226606,49.76278158627193,22.619446175578148,false,104
6,1,10,56514,67793,3910.52,977.63,1173.156,67817,11376,13563,10173,14920,3390,6782,18989,15,10,3,8013,3427,1469,1,3,26.275975387602486,31.53126345438365,14.332369424045798,false,105
2,1,10,2471,8821,464.88,116.22,139.464,2965,1480,593,445,652,149,296,830,15,10,3,1043,150,64,1,3,9.664273087091878,11.596345488962939,5.271260063139702,false,106
20,2,10,4436,9549,405.65,101.412,121.695,5323,1602,1065,798,1171,267,532,1490,15,10,3,1129,269,115,1,3,19.882836486528884,23.858507352974133,10.844998321323216,false,107
48,5,10,8825,22878,4675.94,1636.579,841.669,7060,3839,1412,1059,1553,353,706,1977,8,5,4,2704,357,153,1,2,3.5609834044050475,2.848786723524038,1.5826592908466877,false,108
11,2,10,32265,67655,3995.25,998.812,1198.575,38718,11353,7744,5808,8518,1935,3872,10841,15,10,3,7997,1957,839,1,3,14.68334890485836,17.620018685830033,8.009099402650014,false,109
19,2,10,7818,19570,2420.37,847.129,435.667,6254,3284,1251,938,1376,313,625,1751,8,5,4,2313,316,135,1,2,6.094499826940527,4.875288042681767,2.708570346623511,false,110
27,3,10,12731,27556,1160.55,290.138,348.165,15277,4624,3055,2292,3361,763,1528,4278,15,10,3,3257,772,331,1,3,19.945073107912698,23.933774398679,10.879066047899968,false,111
