node_id,x_utm,y_utm,lon,lat,num_signals
2340162878,666844.521,1522112.973,100.5432571,13.7635674,4
2340162880,666689.146,1522187.308,100.5418247,13.7642483,4
2340162882,666417.071,1522443.806,100.5393239,13.7665825,2
2340521142,666506.364,1520987.262,100.5400635,13.7534118,3
2340524039,666310.639,1520971.298,100.5382527,13.7532788,2
2340524041,666229.187,1520998.071,100.5375011,13.7535255,4
2361168515,666673.568,1520899.051,100.5416044,13.7526048,2
2361168516,666676.391,1520912.5,100.5416313,13.7527262,3
2367381657,666844.082,1520535.617,100.5431596,13.7493099,3
2374624932,666568.638,1523745.635,100.5408026,13.7783408,2
2374651212,667155.55,1523692.027,100.5462271,13.7778222,3
2374651642,667103.119,1523755.581,100.545746,13.7783997,3
2374651829,667180.675,1523544.857,100.5464507,13.7764905,3
2374675544,666425.777,1523866.66,100.5394886,13.779443,3
2392722317,669462.511,1518770.505,100.5672653,13.7332027,3
2397868239,669163.828,1516482.248,100.5643666,13.7125371,2
2398070857,665354.79,1517829.096,100.5292298,13.7249316,3
2398070918,665293.203,1517996.867,100.5286702,13.7264516,2
2398070978,665722.37,1518171.71,100.5326485,13.7280074,2
2398071216,665613.789,1518388.757,100.5316573,13.7299755,2
2400514180,665689.148,1523053.826,100.5326284,13.7721384,3
2400514181,665708.377,1523014.508,100.5328039,13.7717819,3
