"person_id","household_id","primary_purpose","trip_num","outbound","trip_count","tour_id","purpose","destination_logsum","depart","trip_mode","mode_choice_logsum","trip_id","origin","destination"
26008,26008,"eatout",1,true,1,1066334,"eatout",,16,"WALK",3.3943494136244157,8530673,7,11
26008,26008,"eatout",1,false,1,1066334,"home",,16,"WALK",3.3832296417014533,8530677,11,7
26008,26008,"othdiscr",1,true,3,1066353,"eatout",53.08470552429814,8,"WALK",14.414866203212405,8530825,7,7
26008,26008,"othdiscr",2,true,3,1066353,"shopping",52.410801418705844,9,"WALK",14.414866203212405,8530826,7,7
26008,26008,"othdiscr",3,true,3,1066353,"othdiscr",,9,"WALK",9.227033091251265,8530827,7,10
26008,26008,"othdiscr",1,false,2,1066353,"shopping",52.292185988032145,10,"WALK",9.182393135108997,8530829,10,7
26008,26008,"othdiscr",2,false,2,1066353,"home",,10,"WALK",14.414866203212405,8530830,7,7
26008,26008,"othmaint",1,true,1,1066356,"othmaint",,11,"WALK",-0.7278899258923803,8530849,7,13
26008,26008,"othmaint",1,false,1,1066356,"home",,13,"WALK",-0.6578936129772375,8530853,13,7
26011,26011,"othdiscr",1,true,2,1066476,"escort",59.045064355337274,8,"WALK",13.91516622875128,8531809,7,7
26011,26011,"othdiscr",2,true,2,1066476,"othdiscr",,9,"WALK_LOC",12.890982281121579,8531810,7,6
26011,26011,"othdiscr",1,false,1,1066476,"home",,17,"WALK",12.882749647925944,8531813,6,7
26019,26019,"shopping",1,true,2,1066812,"escort",37.031204802578394,17,"WALK",12.743253532667426,8534497,7,25
26019,26019,"shopping",2,true,2,1066812,"shopping",,18,"WALK_LOC",2.097521400225918,8534498,25,22
26019,26019,"shopping",1,false,2,1066812,"escort",39.23636403715098,18,"WALK_LOC",1.69443169649879,8534501,22,8
26019,26019,"shopping",2,false,2,1066812,"home",,18,"WALK",12.757444794591338,8534502,8,7
26044,26044,"univ",1,true,3,1067835,"escort",40.06832390157398,16,"WALK",11.6437414055598,8542681,7,8
26044,26044,"univ",2,true,3,1067835,"eatout",37.65925955136477,16,"WALK_LOC",9.576719794380168,8542682,8,10
26044,26044,"univ",3,true,3,1067835,"univ",,16,"WALK_LOC",4.592863884303673,8542683,10,12
26044,26044,"univ",1,false,1,1067835,"home",,17,"WALK_LOC",4.822467118173168,8542685,12,7
26056,26056,"othdiscr",1,true,1,1068321,"othdiscr",,9,"WALK",14.303266206741718,8546569,8,7
26056,26056,"othdiscr",1,false,1,1068321,"home",,16,"WALK",14.013106226036536,8546573,7,8
26089,26089,"othdiscr",1,true,1,1069674,"othdiscr",,11,"WALK_LRF",2.834075011129464,8557393,8,22
26089,26089,"othdiscr",1,false,1,1069674,"home",,15,"WALK_LRF",2.8459841584211816,8557397,22,8
26098,26098,"escort",1,true,1,1070027,"escort",,10,"WALK_LOC",2.5354883036822753,8560217,8,23
26098,26098,"escort",1,false,1,1070027,"home",,11,"WALK_LOC",2.3785520509833664,8560221,23,8
26098,26098,"othmaint",1,true,1,1070046,"othmaint",,8,"WALK",7.673186090774092,8560369,8,7
26098,26098,"othmaint",1,false,2,1070046,"othmaint",39.43432089652185,9,"WALK",7.743018204085816,8560373,7,7
26098,26098,"othmaint",2,false,2,1070046,"home",,10,"WALK",7.491291250872954,8560374,7,8
26098,26098,"shopping",1,true,1,1070051,"shopping",,15,"WALK",4.006883870817152,8560409,8,16
26098,26098,"shopping",1,false,1,1070051,"home",,16,"WALK",3.870180569728349,8560413,16,8
26103,26103,"othdiscr",1,true,2,1070248,"shopping",24.029640058884638,9,"WALK_LOC",6.683507434412101,8561985,8,16
26103,26103,"othdiscr",2,true,2,1070248,"othdiscr",,10,"WALK_LOC",0.3339208436433535,8561986,16,4
26103,26103,"othdiscr",1,false,1,1070248,"home",,11,"WALK_LRF",1.2474934587921591,8561989,4,8
26117,26117,"othdiscr",1,true,1,1070822,"othdiscr",,13,"WALK",12.502974049431414,8566577,8,8
26117,26117,"othdiscr",1,false,1,1070822,"home",,16,"WALK",12.502974049431414,8566581,8,8
26133,26133,"eatout",1,true,1,1071459,"eatout",,8,"WALK",14.303266206713763,8571673,8,7
26133,26133,"eatout",1,false,1,1071459,"home",,13,"WALK",14.013106225998976,8571677,7,8
26133,26133,"shopping",1,true,1,1071486,"shopping",,16,"WALK_LRF",0.18062705850473487,8571889,8,1
26133,26133,"shopping",1,false,3,1071486,"othmaint",35.37177535017365,20,"WALK_LOC",-0.3820081557399153,8571893,1,7
26133,26133,"shopping",2,false,3,1071486,"escort",55.837847876674125,20,"WALK_LRF",14.1114185063307,8571894,7,9
